"param","value","type","Appendix.Section","source","relevant.calibration.target","geography","definition"
"prep.tst.int",NA,"numeric","missing?","","","","Testing interval by time steps for those who are actively on PrEP. This overrides the mean testing interval parameters."
"prep.risk.reassess.int",NA,"numeric","7.5","","","","Interval for reassessment of risk indications of active PrEP users. Default of `52` for yearly reassessment when time unit is weekly -  use `Inf` for no reassessment."
"sti.prep.tx.prob",NA,"numeric","","","","","Probability of any STI treatment given positive screening during PrEP visit."
"sti.screening.dist",NA,"character","12","","","","Either `""stochastic""` for random (memoryless) STI screening or `""deterministic""` for screening based on interval since last screening time (1/rates)."
"sti.screen.hivneg.rate",NA,"numeric","12","","","","Rate per time step for asymptomatic urogenital gonorrhea and chlamydia screening for MSM not diagnosed with HIV and not on PrEP. Shared by GC and CT: a single combined NAAT specimen tests both organisms at a sampled site."
"sti.screen.hivpos.rate",NA,"numeric","12","","","","Rate per time step for asymptomatic urogenital gonorrhea and chlamydia screening for MSM diagnosed with HIV. Shared by GC and CT: a single combined NAAT specimen tests both organisms at a sampled site."
"sti.screen.prep.rate",NA,"numeric","12","","","","Rate per time step for asymptomatic urogenital STI screening for MSM not diagnosed with HIV and on PrEP. (mean interval = 13 weeks - 3months)"
"sti.screen.prep.start",NA,"numeric","12","","","","Time step to initiate PrEP-based STI screening (may be after `prep.start` to stabilize STI incidence during calibration)."
"sti.screen.rect.hivneg.prob",NA,"numeric","12","","","","Probability of rectal site screening for any STI given urogenital screening for MSM not diagnosed with HIV and not on PrEP."
"sti.screen.rect.hivpos.prob",NA,"numeric","12","","","","Probability of rectal site screening for any STI given urogenital screening for MSM diagnosed with HIV."
"sti.screen.rect.prep.prob",NA,"numeric","","","","","Probability of rectal site screening for any STI given  urogenital screening for MSM not diagnosed with HIV and on PrEP."
"sti.cond.eff.or",NA,"numeric","9.3,9.4","","","","Odds ratio comparing the odds of STI infection from anal sex when a condom is used vs. not used properly (biological efficacy).."
"gono.uret.prob",0.2129451107708,"numeric","9.4","","ir100.gc","atlanta","Probability of urethral gonorrhea infection per act."
"gono.rect.sympt.prob",NA,"numeric","10","","","","Probability of symptoms given infection with rectal gonorrhea."
"gono.uret.sympt.prob",NA,"numeric","10","","","","Probability of symptoms given infection with urethral gonorrhea."
"gono.tx.recov.int",NA,"numeric","11","","","","Average duration in time steps of treated gonorrhea."
"gono.ntx.recov.int",NA,"numeric","11","","","","Average duration in time steps of untreated gonorrhea."
"gono.sympt.tx.prob_1",NA,"numeric","10","","","","Probability of treatment for symptomatic gonorrhea for Black MSM."
"gono.sympt.tx.prob_2",NA,"numeric","10","","","","Probability of treatment for symptomatic gonorrhea for Hispanic MSM."
"gono.sympt.tx.prob_3",NA,"numeric","10","","","","Probability of treatment for symptomatic gonorrhea for White MSM."
"gono.asympt.tx.prob_1",NA,"numeric","10","","","","Probability of treatment for asymptomatic gonorrhea for Black MSM."
"gono.asympt.tx.prob_2",NA,"numeric","10","","","","Probability of treatment for asymptomatic gonorrhea for Hispanic MSM."
"gono.asympt.tx.prob_3",NA,"numeric","10","","","","Probability of treatment for asymptomatic gonorrhea for White MSM."
"chla.uret.prob",0.138859149151087,"numeric","9.3","","ir100.ct","atlanta","Probability of urethral chlamydia infection per act."
"chla.rect.sympt.prob",NA,"numeric","10","","","","Probability of symptoms given infection with rectal chlamydia."
"chla.uret.sympt.prob",NA,"numeric","11","","","","Probability of symptoms given infection with urethral chlamydia. Urethral chlamydia symptom fractions among MSM are 29/48 (60%) at Melbourne Sexual Health Centre (Lister 2004 Sex Health 1:47-50) and 105/155 (67.7%) in a London series (Ward 2009 Sex Transm Infect 85:173-5), inverted through the model's symptomatic-treatment machinery. The previous 0.95 had no source; ECDC states at least 50% of male genital chlamydia is asymptomatic."
"chla.tx.recov.int",NA,"numeric","10","","","","Average duration in time steps of treated chlamydia."
"chla.ntx.recov.int",NA,"numeric","12","","","","Average duration in time steps of untreated chlamydia."
"chla.sympt.tx.prob_1",NA,"numeric","10","","","","Probability of treatment for symptomatic chlamydia for Black MSM."
"chla.sympt.tx.prob_2",NA,"numeric","10","","","","Probability of treatment for symptomatic chlamydia for Hispanic MSM."
"chla.sympt.tx.prob_3",NA,"numeric","10","","","","Probability of treatment for symptomatic chlamydia for White MSM."
"chla.asympt.tx.prob_1",NA,"numeric","10","","","","Probability of treatment for asymptomatic chlamydia for Black MSM."
"chla.asympt.tx.prob_2",NA,"numeric","10","","","","Probability of treatment for asymptomatic chlamydia for Hispanic MSM."
"chla.asympt.tx.prob_3",NA,"numeric","9.3,9.4","","","","Probability of treatment for asymptomatic chlamydia for White MSM."
"syph.prob",0.137960689009444,"numeric","","","","","Probability of syphilis infection per act given that the infected partner is infectious."
"syph.sympt.prob_1",NA,"numeric","","","","","Probability of syphilis symptomes given infection (exposed)."
"syph.sympt.prob_2",NA,"numeric","","","","","Probability of syphilis symptomes given infection (primary). prim | sec == 0.4"
"syph.sympt.prob_3",NA,"numeric","","","","","Probability of syphilis symptomes given infection (secondary)."
"syph.sympt.prob_4",NA,"numeric","","","","","Probability of syphilis symptomes given infection (early latent)."
"syph.sympt.prob_5",NA,"numeric","","","","","Probability of syphilis symptomes given infection (latent)."
"syph.sympt.prob_6",NA,"numeric","","","","","Probability of syphilis symptomes given infection (tertiary)."
"syph.prog.int_1",NA,"numeric","","","","","Average duration (in weeks) from the incubating to the primary stage of syphilis infection."
"syph.prog.int_2",NA,"numeric","","","","","Average duration (in weeks) from the primary to secondary stage of syphilis infection."
"syph.prog.int_3",NA,"numeric","","","","","Average duration (in weeksl from the secondary to early latent stage of syphilis infection."
"syph.prog.int_4",NA,"numeric","","","","","Average duration (in weeks) from the early to late latent stage of syphilis infection. (prim + sec + early lat = 52)"
"syph.prog.int_5",NA,"numeric","","","","","Mean ADDITIONAL duration (in weeks) in late latency beyond syph.tert.min.dwell before progression to tertiary syphilis. Combined with the 520-week floor this gives an untreated infection-to-tertiary distribution with median about 17 years, bracketing the 10-30 year cardiovascular and 15-20 year gummatous and neurosyphilis onset windows."
"syph.prog.int_6",NA,"numeric","","","","","Average duration (in weeks) in the tertiary stage of syphilis infection."
"syph.tert.min.dwell",NA,"numeric","","","","","Minimum weeks since infection (syph.inf.last) before a late-latent node may progress to tertiary. 520 weeks = 10 years, the lower bound of the cardiovascular-syphilis onset window. Without this floor the late-latent to tertiary transition is memoryless and a node can reach tertiary the week after entering late latency. Set to 0 to restore the previous behaviour."
"syph.sympt.tx.prob_1",NA,"numeric","","","","","Per-time-step probability of treatment initiation while symptomatic (the suffix is RACE, not stage). Geometric hazard matching the median 20 days from symptom onset to treatment across primary and secondary syphilis among 123 MSM (Bissessor 2009 Int J STD AIDS 20:52-6). The previous 0.017 implied a mean of 59 weeks, longer than the entire primary-plus-secondary sojourn, which switched the symptomatic pathway off."
"syph.sympt.tx.prob_2",NA,"numeric","","","","","Per-time-step probability of treatment initiation while symptomatic (the suffix is RACE, not stage). Geometric hazard matching the median 20 days from symptom onset to treatment across primary and secondary syphilis among 123 MSM (Bissessor 2009 Int J STD AIDS 20:52-6). The previous 0.017 implied a mean of 59 weeks, longer than the entire primary-plus-secondary sojourn, which switched the symptomatic pathway off."
"syph.sympt.tx.prob_3",NA,"numeric","","","","","Per-time-step probability of treatment initiation while symptomatic (the suffix is RACE, not stage). Geometric hazard matching the median 20 days from symptom onset to treatment across primary and secondary syphilis among 123 MSM (Bissessor 2009 Int J STD AIDS 20:52-6). The previous 0.017 implied a mean of 59 weeks, longer than the entire primary-plus-secondary sojourn, which switched the symptomatic pathway off."
"syph.asympt.tx.prob_1",NA,"numeric","","","","","Probability of treatment initiation upon diagnosis for asymptomatic syphilis."
"syph.asympt.tx.prob_2",NA,"numeric","","","","","Probability of treatment initiation upon diagnosis for asymptomatic syphilis."
"syph.asympt.tx.prob_3",NA,"numeric","","","","","Probability of treatment initiation upon diagnosis for asymptomatic syphilis."
"syph.screen.hivneg.rate",NA,"numeric","","","","","Rate per time step for asymptomatic syphilis screening for MSM not diagnosed with HIV and not on PrEP. (TUITE 2020)"
"syph.screen.hivpos.rate",NA,"numeric","","","","","Rate per time step for asymptomatic syphilis screening for MSM diagnosed with HIV.(TUITE 2020)"
"syph.cond.eff.or",NA,"numeric","8.2","","","","Odds ratio comparing the odds of Syph infection from anal sex when a condom is used properly vs. not used (biological efficacy). https://pmc.ncbi.nlm.nih.gov/articles/PMC4660551/#sec1-4"
